double,45.853717,9.170743,5,96.743164,seq+tiled,1,1,4300166139.733992
double,484.482787,96.896557,5,386.972656,seq+tiled,1,1,34294227364.235519
double,45.122645,9.024529,5,96.743164,seq+tiled,16,1,4300166139.733992
double,367.738456,73.547691,5,386.972656,seq+tiled,16,1,34294227364.235519
double,45.155868,9.031174,5,96.743164,seq+tiled,32,1,4300166139.733992
double,364.857250,72.971450,5,386.972656,seq+tiled,32,1,34294227364.235519
double,45.298077,9.059615,5,96.743164,seq+tiled,64,1,4300166139.733992
double,366.458856,73.291771,5,386.972656,seq+tiled,64,1,34294227364.235519
double,45.433762,9.086752,5,96.743164,seq+tiled,128,1,4300166139.733992
double,369.860021,73.972004,5,386.972656,seq+tiled,128,1,34294227364.235519
