double,24.364527,4.872905,5,96.743164,omp,1,1,4300166139.733895
double,351.967936,70.393587,5,386.972656,omp,1,1,34294227364.234795
double,12.292288,2.458458,5,96.743164,omp,1,2,4300166139.733895
double,174.956856,34.991371,5,386.972656,omp,1,2,34294227364.234795
double,6.419834,1.283967,5,96.743164,omp,1,4,4300166139.733895
double,93.298709,18.659742,5,386.972656,omp,1,4,34294227364.234795
double,6.441509,1.288302,5,96.743164,omp,1,4,4300166139.733895
double,92.919978,18.583996,5,386.972656,omp,1,4,34294227364.234795
double,3.394904,0.678981,5,96.743164,omp,1,8,4300166139.733895
double,52.084216,10.416843,5,386.972656,omp,1,8,34294227364.234795
double,1.995614,0.399123,5,96.743164,omp,1,16,4300166139.733895
double,31.965225,6.393045,5,386.972656,omp,1,16,34294227364.234795
