double,8.826990,1.765398,5,96.743164,oacc+tiled,1,1,4300166139.733991
double,67.944830,13.588966,5,386.972656,oacc+tiled,1,1,34294227364.235378
double,0.423720,0.084744,5,96.743164,oacc+tiled,16,1,4300166139.733991
double,3.266700,0.653340,5,386.972656,oacc+tiled,16,1,34294227364.235378
double,0.240924,0.048185,5,96.743164,oacc+tiled,32,1,4300166139.733991
double,1.856643,0.371329,5,386.972656,oacc+tiled,32,1,34294227364.235378
double,0.206273,0.041255,5,96.743164,oacc+tiled,64,1,4300166139.733991
double,1.597172,0.319434,5,386.972656,oacc+tiled,64,1,34294227364.235378
double,0.200560,0.040112,5,96.743164,oacc+tiled,128,1,4300166139.733991
double,1.581413,0.316283,5,386.972656,oacc+tiled,128,1,34294227364.235378
